S&P500,50SMA,13RSI,NASDAQ
4173.8,13386.6,34.8,13067.5
4179.2,13396.7,36.6,13094.8
4182.7,13406.6,37.5,13108
4185.8,13416.8,37.1,13104.3
4180.8,13425.2,34.9,13082.2
4174.6,13432.2,31.8,13052
4174.9,13440.4,33.2,13082.2
4170.8,13447.6,32.2,13070.6
4182.2,13457.8,32.5,13078.8
4208.4,13466.6,37.6,13191.4
4247.1,13473.1,48.6,13367.5
4217.4,13476.7,39.9,13272.6
4225.9,13482.9,42.6,13311.5
4211.2,13489.1,34,13232
4244.1,13496.9,46.3,13384.9
4249,13503.4,48.9,13409.2
4228.3,13509.4,39.2,13334.1
4230.6,13516.8,41.3,13355.9
4235.9,13523.4,42.5,13368.5
4227,13530.6,37.6,13332.2
4225,13538.5,37.9,13335.3
4219.7,13546.3,34.3,13308.3
4216.2,13555,34,13305.4
4225.9,13563.8,37.2,13353.6
4229.9,13572.3,39.6,13385.5
4232.8,13579.3,37.6,13368.5
4226.4,13586.4,36.4,13357.4
4206.9,13593.1,30.1,13301.9
4204.6,13601.5,29.8,13299
4234.7,13608.9,36.7,13422.6
4240.7,13613.7,37.6,13436.4
4243.4,13616.4,38.3,13447.2
4247.7,13618.5,39,13458.8
4273.3,13620.7,46.6,13571.7
4274.9,13619.5,48.2,13592.5
4292.1,13618.1,61.5,13733.8
4303.3,13614.5,65.9,13770.7
4316.7,13608.1,71.1,13812.3
4277.7,13600.3,60.2,13656.9
4272.5,13593.8,58.6,13639.9
4256.7,13586.7,52.5,13580.5
4263.4,13581.7,55.3,13603.2
4263.3,13574.8,53.8,13587.8
4255,13568.3,50.4,13555.7
4239.9,13563.5,42.4,13490.7
4241.9,13559.3,42.8,13494.8
4242.7,13554.4,42.5,13492.3
4242.2,13548.6,43.9,13508
4254.2,13543.5,48.9,13563.3
4265,13540.7,52.2,13595.6
4258,13536,49.9,13571.9
4258.6,13536.4,51.5,13589.1
4260.5,13529.1,54.2,13617.7
4238.3,13523,45.9,13526.1
4218.4,13517.6,34.5,13431.8
4222.7,13514.8,36.7,13461.6
4221.4,13511.8,34.5,13444.8
4249.2,13510,46.4,13577.5
4223.9,13505.4,37.8,13519.6
4228.2,13502.1,37.4,13517.6
4236.2,13498,40.4,13547.9
4242,13490.3,44.1,13583.6
4249.3,13481.7,48.3,13619.5
4247.5,13473.5,48.7,13623.5
4270.7,13466.5,60.6,13710.3
4268.7,13458.5,60.1,13705.3
4271.5,13450.6,60.6,13708.5
4269.1,13443.4,58.1,13682.1
4275.6,13435.6,64.9,13729.7
4276.4,13426.4,64.9,13729.5
4272.6,13417.3,64.5,13724.7
4276.2,13409.2,67,13743.3
4277.2,13402.8,67.4,13746.1
4281,13397.5,70.8,13774.1
4278.3,13392.4,69,13740.1
4277.3,13388.8,68.1,13722.4
4271.7,13385.7,66.4,13691.2
4288.2,13385.5,69.8,13722.2
4278.3,13386.8,67,13666.2
4270.3,13387.8,67,13665.7
4245.5,13387.6,61.8,13568.6
4239.8,13388.1,61,13554.3
4244.4,13389.2,62.1,13566.6
4232.2,13390,59.4,13516.1
4233.8,13391,59.8,13520.9
4242.8,13393.1,62,13551.4
4220.1,13394.2,57.1,13451
4217.4,13397.6,55.7,13425.6
4190.2,13401,50.2,13328.4
4179.2,13405.4,47.7,13288.5
4193.2,13410.8,50.1,13329.2
4170.6,13415.7,45.7,13257.6
4176.8,13422.3,46,13263.3
4185.4,13433.1,48.6,13313.6
4178.7,13443.5,46.8,13280.4
4170.9,13452.9,45.3,13252.4
4154.9,13464.1,42.5,13199.9
4168.3,13477.5,44.8,13257.1
4219.1,13488.2,52.3,13422.8
4200.7,13495.4,49.2,13356.8
4256.6,13506.8,62.7,13591.9
4184.3,13513.3,38.2,13225.6
4198.5,13527.4,44.8,13314.8
4192.7,13539.7,38.1,13253.8
4204.3,13553,41.1,13293.6
4207.7,13565.4,42.5,13311.2
4222,13578.3,45.9,13353.7
4216.5,13590.7,45.3,13346.7
4216.3,13602.9,45.8,13353.6
4210.7,13614.9,42.3,13314.5
4160.7,13627,25,13161.7
4159.5,13641.6,24.4,13157
4172.1,13656.5,26.6,13206
4192.7,13671.1,30.2,13276.6
4199.6,13681.7,32,13307.8
4201.4,13697.3,32.1,13309.8
4215.4,13712.3,34.4,13351.2
4196.3,13726.1,27.5,13291.7
4188.7,13741.4,24.9,13270.2
4188.8,13758.6,25,13271.6
4200.4,13776.1,27,13322.9
4222.5,13792,31.4,13421.4
4231.8,13804.7,34.4,13479.3
4235.2,13820.4,36.9,13522.6
4247.1,13836.6,39.2,13560.6
4260.8,13849.5,39.6,13567.4
4283.3,13861.9,46.9,13677.8
4313.2,13872.2,56.8,13790
4292.6,13880.5,50.3,13714.6
4276.2,13890,44.6,13657.8
4256.6,13901.2,36.9,13593.4
4263.1,13914.3,38.1,13609.1
4261.7,13926.9,37.7,13605.5
4258.3,13939.3,33,13565.3
4280.6,13952.5,37,13628.2
4274.2,13964.5,34.3,13605.4
4278.3,13976.2,35.3,13620.6
4269,13988,32.4,13594.7
4258.5,14000.2,27.3,13550.2
4260.1,14013.3,27.5,13555.4
4263.2,14027,28.3,13573.7
4271.6,14040.4,28.8,13588
4321.7,14053.4,40.1,13803.8
4327.3,14061.2,42.3,13834.8
4297.9,14067.9,33.2,13751.3
4310.5,14074,37.1,13811.4
4325,14079.3,41.5,13870.1
4297.4,14082.7,31.3,13789.9
4289.9,14088.7,30.6,13784.9
4323,14095.2,41.7,13927.4
4322.1,14098.7,40,13915.4
4327.4,14102.3,41.7,13933.4
4326.7,14103.5,41,13928
4325.5,14104.5,39.8,13917.8
4327.1,14106.3,39.6,13915.9
4333.7,14109.5,42.6,13956.1
4348,14111.8,43.7,13970.2
4343,14113.4,42.7,13960.2
4339.4,14114.7,42,13952.2
4327.8,14116.1,39,13918.8
4320.8,14118.7,36.7,13892.2
4326.4,14122,37.2,13902.1
4338,14124.7,38.7,13934
4298.2,14126.1,28,13811.3
4374.3,14130,43.7,14083.6
4367.9,14128.7,41.4,14062.8
4363.4,14129.3,38.6,14038.1
4368.2,14129.4,40,14058.7
4385.7,14131.4,45.6,14130.6
4383.9,14132.9,46.7,14144.2
4368.3,14133.8,44.3,14118.9
4354.4,14133.9,38,14055.4
4402.8,14134.8,58.3,14264.5
4411.4,14132.7,69.9,14334.4
4380.9,14128.4,54.5,14205.5
4373.9,14128.4,51.3,14187.5
4377.3,14130.3,52.4,14193.1
4379.8,14131.5,54.1,14202.3
4379,14131.8,52.5,14192.1
4382.9,14132.5,56.5,14215.2
4394.1,14132.2,63.3,14249.9
4389.4,14131.5,62.3,14241.7
4385.1,14130.8,60.1,14223.4
4386.1,14130.6,60.8,14227.2
4384.9,14131.3,60.7,14227
4373.2,14131.3,56.6,14189.1
4378.1,14132.2,59.9,14210.4
4377.6,14129.7,59.6,14208
4376.8,14128.5,58.9,14200.9
4384.2,14126.8,64.7,14241.1
4386.2,14127.2,65,14243.7
4394.3,14126.8,64.7,14238.6
4384.9,14125,61.5,14196.6
4377.5,14121.1,59.3,14168.6
4351.3,14118.1,48,14053.2
4342.6,14117,50.9,14079.3
4321.2,14115.6,46.1,14038.1
4331.8,14114.6,52.5,14092.9
4336.1,14111.8,54.7,14110.2
4331.5,14109.4,53.8,14101.4
4336.4,14104.7,53.3,14096.8
4300,14100.1,41.3,13992.9
4297.4,14096.6,38.7,13974.5
4308.2,14092.6,42.1,14011.9
4322.9,14088.4,48.8,14073.1
4322.4,14083.8,48.7,14072.3
4317.2,14079.4,45.9,14048.6
4314,14075.7,43.3,14027.2
4315.1,14078.9,42.5,14021
4321.9,14082.2,45.2,14051.4
4320.4,14083.5,45.7,14056.9
4313.9,14084.6,43.3,14033
4306.5,14085.7,40.7,14007.7
4303.4,14088.9,40.5,14005.9
4296.6,14090,41.2,14016
4319.2,14087.2,46.5,14096.2
4303.6,14086.2,41.8,14042.4
4332.7,14085.6,50.4,14156.4
4354.8,14080.4,55.3,14208.9
4361.6,14074.5,53.6,14187.4
4339.4,14068.1,48.4,14124.7
4332.8,14061.7,46.2,14100.4
4349.2,14056.9,50.8,14157.4
4346.4,14051,47.7,14120.5
4372.6,14045.8,55,14204.7
4390.6,14039.3,63.1,14280.5
4382.8,14031.4,61.4,14255
4371.5,14023.1,58.6,14216.4
4373.7,14015.9,59.7,14226.9
4368.7,14009,57.8,14199.9
4371.1,14002.3,59.2,14214.4
4370.2,13996.3,58.8,14207.6
4372.9,13991.6,59.3,14214.5
4380.7,13982.9,63.2,14262.5
4373.7,13969.8,61.4,14224.8
4372.1,13954.5,62.4,14238
4335.3,13940.7,54.4,14085
4352.2,13928.2,59,14145.8
4341.7,13912.2,57.3,14115
4379.6,13892,69.9,14262.5
4365.6,13868.5,68.1,14221.7
4348.6,13847.3,64.7,14150.3
4319.4,13827.2,55.9,14004.5
4328.2,13810.4,57.2,14018.8
4320.9,13794,55.7,13996
4325.9,13776,56.7,14009.1
4315.3,13758.7,55.3,13985.8
4303.6,13742.4,53.4,13953.1
4315.9,13727.4,56.1,13993
4288.1,13710.1,48.3,13867.8
4289.6,13699.5,48.2,13865.6
4279.1,13690.9,44.9,13816.2
4269.3,13682.4,42,13774.1
4270.1,13677,43.5,13805.1
4285.6,13670.8,45.4,13842.6
4289.5,13664.3,45.9,13851.7
4287.5,13659.1,46.3,13860.3
4384,13655.7,66.7,14190.9
4383.3,13647.3,66.5,14186.4
4366.9,13639.9,63.5,14113.4
4372.2,13633.4,63.6,14114.7
4364.3,13629.3,62.4,14084.5
4373.2,13628.1,68.1,14167.5
4339.2,13625.4,64.3,14064.3
4290.5,13623.4,55.4,13874.7
4307.8,13626.1,69.9,14045.2
4296.7,13625.9,68.4,14011.4
4257.4,13626.1,62.6,13898.5
4260.7,13627.6,63.9,13911.9
4254.9,13628.3,61.7,13871.5
4238.9,13630.1,57.7,13804.3
4257.3,13633.6,62.6,13859.7
4262.3,13635.7,62.8,13861.6
4260.1,13637.2,62.8,13861.5
4266.3,13638.9,64.1,13877.6
4269.4,13641,64.8,13888.3
4260,13642.8,62.8,13837.3
4265.5,13644.6,64.3,13859.7
4265.1,13644.9,65.5,13878
4264.1,13645.9,65.1,13865.6
4272.9,13644,68.1,13916.2
4289.1,13642.4,71.4,13970.8
4239.8,13640.5,66.2,13781
4195.9,13643.9,60,13607.4
4169.5,13652.3,53.4,13460.5
4192.1,13661.9,58.8,13548.2
4176.2,13669.9,54.4,13457.4
4162.9,13679,48.3,13346.1
4119.4,13690.6,28.9,13103.3
4122.7,13703.2,27.3,13087.8
4139.2,13716.2,30.3,13162.2
4135.2,13725.5,28.7,13146.5
4139.9,13736.5,29.5,13165.5
4148.6,13747.3,30.8,13199.3
4122.2,13757.2,21.2,13096.9
4128.2,13768.7,22.4,13142
4136.4,13779.5,23.3,13173.4
4145.2,13789.9,24,13198.9
4129.4,13800.3,17.9,13132.2
4185.1,13811.4,23.2,13335.2
4206.5,13819.5,26.7,13435.9
4194.3,13826.2,21.7,13390.2
4221.5,13835,25.8,13505.6
4218.8,13841.6,24.4,13493.3
4226.9,13848.5,25.3,13516.9
4242.2,13855.5,28.3,13595.5
4267.9,13862.2,32.7,13689.3
4286.4,13868.1,37.4,13771
